Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
1737472652.142,69.6875,3922.6000000000004,3807.0,22.0,5456.216606
1737472662.088,69.65625,3922.6000000000004,3805.0,23.0,5466.1621476
1737472672.049,69.640625,3922.6000000000004,3807.0,23.0,5476.1228443
1737472681.994,69.625,3922.6000000000004,3801.0,23.0,5486.0685127
1737472691.958,69.609375,3922.6000000000004,3806.0,23.0,5496.0318479
1737472701.915,69.578125,3920.4,3806.0,23.0,5505.9894636
1737472711.861,69.5625,3920.4,3807.0,23.0,5515.934979799999
1737472721.821,69.53125,3920.4,3806.0,23.0,5525.8956302999995
1737472731.767,69.515625,3920.4,3807.0,24.0,5535.8410779
1737472741.728,69.484375,3920.4,3807.0,24.0,5545.8019868
1737472751.674,69.453125,3920.4,3806.0,24.0,5555.7480534
1737472761.619,69.4375,3920.4,3806.0,24.0,5565.6928233
1737472771.579,69.421875,3920.4,3802.0,25.0,5575.6534101
1737472781.528,69.390625,3920.4,3806.0,25.0,5585.6022494
1737472791.486,69.375,3920.4,3806.0,25.0,5595.5597345999995
1737472801.431,69.34375,3918.2000000000003,3803.0,25.0,5605.5051711999995
1737472811.38,69.328125,3920.4,3805.0,25.0,5615.4537664
1737472821.337,69.296875,3918.2000000000003,3803.0,26.0,5625.4111863
1737472831.283,69.28125,3920.4,3796.0,26.0,5635.3570811
1737472841.228,69.234375,3918.2000000000003,3806.0,26.0,5645.3023391
1737472851.177,69.21875,3918.2000000000003,3798.0,26.0,5655.2512056
1737472861.1200001,69.1875,3918.2000000000003,3802.0,26.0,5665.1946093999995
1737472871.08,69.171875,3918.2000000000003,3803.0,26.0,5675.1540466
1737472881.026,69.140625,3918.2000000000003,3805.0,26.0,5685.0999162
1737472890.974,69.109375,3918.2000000000003,3806.0,27.0,5695.0482437
1737472900.9160001,69.09375,3918.2000000000003,3803.0,27.0,5704.9906897
1737472910.862,69.0625,3918.2000000000003,3800.0,27.0,5714.9362991
1737472920.808,69.046875,3918.2000000000003,3803.0,27.0,5724.8820641
1737472930.7680001,69.015625,3918.2000000000003,3804.0,27.0,5734.8425196
1737472940.714,69.0,3918.2000000000003,3802.0,27.0,5744.7880847
1737472950.659,68.984375,3918.2000000000003,3799.0,27.0,5754.7335751
1737472960.605,68.953125,3916.0000000000005,3805.0,27.0,5764.6791385999995
1737472970.555,68.921875,3918.2000000000003,3806.0,28.0,5774.6291377
1737472980.501,68.90625,3916.0000000000005,3803.0,28.0,5784.5748045
1737472990.458,68.875,3916.0000000000005,3800.0,28.0,5794.531970999999
1737473000.402,68.84375,3916.0000000000005,3803.0,28.0,5804.4763929
1737473010.351,68.828125,3916.0000000000005,3803.0,28.0,5814.4250839999995
